DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2018-09-01 00:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE		2021-12-17 12:30:21.351864
2018-09-01 01:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	610.7	2018-09-01 04:46:04
2018-09-01 02:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	619.1	2018-09-01 05:46:00
2018-09-01 03:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	622.5	2018-09-01 06:46:05
2018-09-01 04:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	663.5	2018-09-01 07:46:05
2018-09-01 05:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	744.4	2018-09-01 08:46:04
2018-09-01 06:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	813.6	2018-09-01 09:46:09
2018-09-01 07:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	821.2	2018-09-01 10:46:05
2018-09-01 08:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	818.2	2018-09-01 11:46:04
2018-09-01 09:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	808.5	2018-09-01 12:46:04
2018-09-01 10:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	814.5	2018-09-01 13:46:06
2018-09-01 11:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	810.6	2018-09-01 15:01:16
2018-09-01 12:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	811.2	2018-09-01 15:46:06
2018-09-01 13:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	798.2	2018-09-01 16:46:01
2018-09-01 14:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	780.7	2018-09-01 17:46:02
2018-09-01 15:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	788.3	2018-09-01 18:46:03
2018-09-01 16:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	786.8	2018-09-01 19:46:02
2018-09-01 17:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	797.4	2018-09-01 20:46:05
2018-09-01 18:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	816.8	2018-09-01 21:46:03
2018-09-01 19:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	744.3	2018-09-01 22:46:04
2018-09-01 20:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	682.1	2018-09-01 23:46:04
2018-09-01 21:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	630.4	2018-09-02 00:46:02
2018-09-01 22:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	602.1	2018-09-02 01:46:05
2018-09-01 23:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	589.2	2018-09-02 02:46:03
2018-09-02 00:00:00.000000	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE		2021-12-17 12:30:21.363700
2018-09-02 01:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	568.1	2018-09-02 04:46:00
2018-09-02 02:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	575.1	2018-09-02 05:46:00
2018-09-02 03:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	569.6	2018-09-02 06:46:02
2018-09-02 04:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	609.6	2018-09-02 07:46:03
2018-09-02 05:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	680.0	2018-09-02 08:46:04
2018-09-02 06:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	743.1	2018-09-02 09:46:05
2018-09-02 07:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	775.0	2018-09-02 10:45:59
2018-09-02 08:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	781.2	2018-09-02 11:46:01
2018-09-02 09:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	771.5	2018-09-02 12:46:02
2018-09-02 10:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	770.7	2018-09-02 13:45:59
2018-09-02 11:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	768.3	2018-09-02 14:45:59
2018-09-02 12:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	764.3	2018-09-02 15:45:58
2018-09-02 13:00:00	PT60M	10Y1001A1001A39I	CTA	EE CTA	EE	765.4	2018-09-02 16:46:03
